Time,KE,CoordNum,MaxZ,SolidFraction
1.2,129.441,0.352941,1.01272,0.0587529
1.21,138.61,0.366667,1.00868,0.0594835
1.22,142.33,0.280992,1.00367,0.0602788
1.23,144.335,0.327869,0.997675,0.0611422
1.24,143.466,0.487805,0.9907,0.0620773
1.25,129.895,0.451613,0.982743,0.0630887
1.26,129.761,0.256,0.991833,0.0630146
1.27,134.784,0.396825,1.00181,0.062886
1.28,126.704,0.440945,1.01081,0.0628209
1.29,129.352,0.5,1.02102,0.0626826
1.3,128.388,0.511628,1.03515,0.0623101
1.31,123.786,0.461538,1.04829,0.0620057
1.32,124.87,0.473282,1.06046,0.0617659
1.33,124.757,0.5,1.07164,0.0615879
1.34,123.279,0.526316,1.08184,0.0614693
1.35,116.073,0.507463,1.09106,0.061408
1.36,112.784,0.577778,1.0993,0.0614025
1.37,112.117,0.385185,1.10599,0.0610314
1.38,111.374,0.352941,1.11223,0.0611386
1.39,115.119,0.394161,1.11969,0.0611774
1.4,122.223,0.42029,1.12618,0.0612692
1.41,124.652,0.388489,1.13168,0.061413
1.42,126.458,0.514286,1.1362,0.0616087
1.43,119.382,0.624113,1.13974,0.061856
1.44,123.95,0.43662,1.1423,0.0621551
1.45,127.861,0.461538,1.14388,0.0625064
1.46,128.987,0.541667,1.14448,0.0629106
1.47,127.297,0.427586,1.1441,0.0633687
1.48,121.923,0.575342,1.14273,0.0638819
1.49,113.715,0.489796,1.14039,0.0644517
1.5,119.638,0.486486,1.13706,0.0650799
1.51,121.465,0.550336,1.13276,0.0657688
1.52,122.501,0.533333,1.12747,0.0665207
1.53,125.557,0.331126,1.1212,0.0673386
1.54,127.336,0.381579,1.11395,0.0682257
1.55,131.871,0.627451,1.10572,0.0691858
1.56,124.87,0.779221,1.09651,0.070223
1.57,121.158,0.683871,1.08631,0.0713422
1.58,121.487,0.705128,1.07514,0.0725487
1.59,121.347,0.713376,1.06298,0.0738487
1.6,126.169,0.594937,1.04985,0.0752489
1.61,128.563,0.654088,1.03748,0.0766278
1.62,124.629,0.725,1.0343,0.0773471
1.63,124.131,0.919255,1.03013,0.0781452
1.64,123.95,0.925926,1.02499,0.0790254
1.65,126.031,0.588957,1.01886,0.0799913
1.66,127.071,0.658537,1.01175,0.0810475
1.67,132.723,0.606061,1.00366,0.0821989
1.68,125.828,0.650602,0.994593,0.0834512
1.69,123.991,0.886228,0.997893,0.0836763
1.7,121.475,0.714286,1.00488,0.0835919
1.71,124.026,0.769231,1.01089,0.0835896
1.72,127.945,0.717647,1.01592,0.0836681
1.73,132.882,0.654971,1.01997,0.0838264
1.74,128.393,0.732558,1.02303,0.0840639
1.75,125.055,0.763006,1.02512,0.0843807
1.76,117.705,0.804598,1.02622,0.0847772
1.77,115.951,0.822857,1.02642,0.0852476
1.78,110.924,0.965909,1.02688,0.0856961
1.79,112.292,0.734463,1.02987,0.0859335
1.8,114.576,0.606742,1.03186,0.0862517
1.81,114.64,0.715084,1.03288,0.086651
1.82,118.215,0.677778,1.03291,0.0871321
1.83,123.462,0.740331,1.03197,0.0876965
1.84,121.162,0.736264,1.03004,0.088346
1.85,124.261,0.786885,1.02713,0.0890829
1.86,129.931,0.804348,1.02324,0.0899101
1.87,130.843,0.854054,1.01837,0.090831
1.88,133.088,0.752688,1.01252,0.0918497
1.89,135.56,0.770053,1.00569,0.0929709
1.9,127.988,0.904255,0.997878,0.0941999
1.91,118.936,1.11111,0.989084,0.0955429
1.92,113.166,0.926316,0.979309,0.0970072
1.93,110.424,0.900524,0.968553,0.0986007
1.94,113.938,0.864583,0.967804,0.0991936
1.95,110.015,0.75,0.968644,0.0991076
1.96,109.146,0.818653,0.968503,0.0996383
1.97,110.649,0.680412,0.96738,0.100271
1.98,114.239,0.697436,0.965277,0.101007
1.99,109.28,0.867347,0.962192,0.101851
2,109.038,0.71066,0.958127,0.102805
2.01,108.305,0.79798,0.95308,0.103874
2.02,111.394,0.874372,0.947054,0.105063
2.03,118.033,0.97,0.940619,0.106313
2.04,118.75,0.99,0.933509,0.107123
2.05,117.169,0.88,0.936696,0.106758
2.06,115.95,0.92,0.938902,0.106507
2.07,113.546,0.95,0.940127,0.106369
2.08,113.886,1.07,0.940372,0.106341
2.09,111.322,0.94,0.939635,0.106424
2.1,111.681,1.02,0.937917,0.106619
2.11,112.583,1.04,0.935218,0.106927
2.12,111.551,0.98,0.931539,0.107349
2.13,114.771,0.82,0.926878,0.107889
