Time,KE,CoordNum,MaxZ,SolidFraction
1.19,130.819,0.220339,1.0296,0.057304
1.2,136.693,0.252101,1.01057,0.0588777
1.21,141.253,0.416667,0.99056,0.0605718
1.22,143.038,0.264463,0.976623,0.0619481
1.23,146.047,0.295082,0.977967,0.0623743
1.24,142.372,0.390244,0.978211,0.0628698
1.25,136.778,0.435484,0.977475,0.0634288
1.26,136.542,0.432,0.975757,0.0640528
1.27,133.994,0.444444,0.973058,0.0647443
1.28,127.563,0.362205,0.969379,0.0655059
1.29,129.746,0.40625,0.964718,0.0663406
1.3,123.008,0.449612,0.959076,0.0672522
1.31,119.004,0.496124,0.952454,0.0677198
1.32,116.708,0.476923,0.947376,0.0686106
1.33,114.657,0.534351,0.943564,0.0694177
1.34,117.934,0.424242,0.93877,0.0703047
1.35,116.997,0.631579,0.932996,0.0712757
1.36,114.598,0.447761,0.926241,0.0723354
1.37,120.234,0.4,0.924598,0.0730047
1.38,124.177,0.529412,0.932084,0.0729548
1.39,118.799,0.467153,0.939875,0.0728821
1.4,115.791,0.507246,0.946684,0.072886
1.41,116.128,0.47482,0.952513,0.0729649
1.42,112.251,0.528571,0.957361,0.0731177
1.43,116.516,0.524823,0.961228,0.0733437
1.44,120.192,0.43662,0.964114,0.0736428
1.45,121.936,0.461538,0.966019,0.0740151
1.46,126.597,0.402778,0.966942,0.0744615
1.47,130.514,0.344828,0.966885,0.0749831
1.48,127.699,0.520548,0.965847,0.0755813
1.49,124.599,0.503401,0.963828,0.0762584
1.5,120.989,0.77027,0.960828,0.0770169
1.51,116.817,0.738255,0.956846,0.0778599
1.52,114.233,0.613333,0.951884,0.0787911
1.53,114.369,0.582781,0.945941,0.0798147
1.54,118.45,0.684211,0.939017,0.0809357
1.55,116.134,0.640523,0.931112,0.0821598
1.56,117.918,0.649351,0.927646,0.0830058
1.57,117.781,0.670968,0.92807,0.0835066
1.58,118.447,0.576923,0.927514,0.0840958
1.59,125.253,0.585987,0.925976,0.0847754
1.6,116.329,0.721519,0.92488,0.0854165
1.61,120.099,0.691824,0.929349,0.0855438
1.62,122.902,0.65,0.939111,0.085187
1.63,124.304,0.63354,0.947891,0.0849253
1.64,123.856,0.703704,0.955691,0.0847554
1.65,129.768,0.723926,0.96251,0.0846744
1.66,131.958,0.646341,0.968348,0.0846803
1.67,131.298,0.690909,0.969791,0.0850699
1.68,131.018,0.698795,0.966982,0.0858341
1.69,120.003,0.814371,0.963192,0.0866909
1.7,121.566,0.702381,0.958422,0.0876441
1.71,121.365,0.686391,0.95355,0.0886162
1.72,120.598,0.670588,0.94835,0.0896293
1.73,119.783,0.654971,0.942525,0.0907138
1.74,114.622,0.732558,0.936839,0.0917981
1.75,111.308,0.705202,0.930174,0.0929933
1.76,114.47,0.850575,0.92529,0.0940246
1.77,112.67,0.845714,0.92805,0.0942837
1.78,113.231,0.761364,0.929817,0.0946423
1.79,116.764,0.734463,0.930671,0.0950926
1.8,119.077,0.719101,0.932819,0.0954097
1.81,122.066,0.73743,0.934326,0.095791
1.82,117.758,0.688889,0.93486,0.0962711
1.83,114.478,0.861878,0.935596,0.0967298
1.84,110.523,0.802198,0.935708,0.0972525
1.85,109.94,0.961749,0.935815,0.0977757
1.86,107.448,0.847826,0.935962,0.0982946
1.87,109.482,0.73913,0.935128,0.0983823
1.88,104.7,1.04865,0.933473,0.0990923
1.89,102.984,0.817204,0.931986,0.0997869
1.9,107.044,0.770053,0.929519,0.10059
1.91,107.514,0.680851,0.926071,0.101504
1.92,109.095,0.761905,0.931472,0.101452
1.93,114.311,0.757895,0.939946,0.10107
1.94,119.099,0.858639,0.956192,0.0998754
1.95,122.935,0.9375,0.971457,0.0988207
1.96,121.357,1.09845,0.98574,0.097896
1.97,124.481,0.845361,0.999043,0.0970929
1.98,117.659,0.707692,1.01136,0.0964044
1.99,116.785,0.959184,1.02271,0.0958243
2,118.312,0.883249,1.03307,0.0953473
2.01,114.736,0.868687,1.04244,0.0949692
2.02,113.007,0.984925,1.05084,0.094686
